Altium Designer Pick and Place Locations
D:\HW\lk\新电机低压套件\MD_CTL_M120_LQ48_Rev1.0\Project Outputs for MK-HC32F460-LQFP100\Pick Place for MD_CTL_M120_LQ48_Rev1.0.csv

========================================================================================================================
File Design Information:

Date:       18/08/22
Time:       09:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP1","GND","TopLayer","TP","1657.058mil","1057.061mil","0",""
"LED2","LED","TopLayer","LED0603","1175.734mil","887.996mil","180","0603,SMT"
"U1","HC32M120_LQFP48","TopLayer","LQFP-48-070-050","1055.000mil","617.480mil","270",""
"logo","XHSC","TopLayer","XHSC_LOGO_SMALL","-2575.000mil","-2360.000mil","0",""
"VR","3386P-1-103TLF","TopLayer","3386P-1-103TLF","1595.000mil","145.000mil","0",""
"R4","100R","TopLayer","R0603","1052.116mil","275.000mil","90","Resister,0603,5%"
"Y1","8MHz","TopLayer","49s","1507.847mil","655.297mil","270","4.0000MHz"
"R43","10k","TopLayer","R0603","1300.736mil","435.162mil","270","Resister,0603,5%"
"R42","2k","TopLayer","R0603","1380.000mil","221.002mil","270","Resister,0603,5%"
"R9","1k","TopLayer","R0603","1323.135mil","890.911mil","360","Resister,0603,5%"
"R6","10k","TopLayer","R0603","1238.083mil","310.000mil","90","Resister,0603,5%"
"R5","100R","TopLayer","R0603","906.796mil","275.000mil","90","Resister,0603,5%"
"R3","10k","TopLayer","R0603","978.680mil","275.000mil","90","Resister,0603,5%"
"R2","10k","TopLayer","R0603","834.912mil","275.000mil","90","Resister,0603,5%"
"R1","1k","TopLayer","R0603","640.000mil","655.000mil","0","Resister,0603,5%"
"LED1","LED","TopLayer","LED0603","532.246mil","630.000mil","90","0603,SMT"
"CN5","2.54mm,5Pin","TopLayer","PIN-5-254-S","1085.709mil","88.425mil","360",""
"CN3","CN-2-20-254","TopLayer","PINA-20-254-S","1918.110mil","602.362mil","270",""
"CN2","Micro USB-B ,180度","TopLayer","Micro-USB-B-1","600.000mil","109.998mil","360","Micro USB-B type, TE"
"CN1","CN-2-20-254","TopLayer","PINA-20-254-S","247.244mil","602.362mil","270",""
"C21","0.1uF","TopLayer","C0603","1372.885mil","483.162mil","90",""
"C20","1nF","TopLayer","C0603","1377.149mil","349.596mil","90","Ceramic Capacitor,0603"
"C11","0.1uF","TopLayer","C0603","1323.135mil","818.762mil","360",""
"C10","4.7uF","TopLayer","C0805","746.759mil","526.339mil","90",""
"C6","12pF","TopLayer","C0603","1647.589mil","585.000mil","90",""
"C5","12pF","TopLayer","C0603","1647.323mil","730.000mil","270",""
"C3","0.1uF","TopLayer","C0603","1354.593mil","715.905mil","90","Ceramic Capacitor,0603"
"C2","10uF","TopLayer","c1206","591.130mil","494.232mil","360",""
"C1","0.1uF","TopLayer","C0603","638.102mil","583.116mil","180","Ceramic Capacitor,0603"
