Altium Designer Pick and Place Locations
D:\HW\lk\新电机低压套件\MD_STG_100_Rev1.0\Project Outputs for EV-MD100-STG\Pick Place for MD_STG_100_Rev1.0.csv

========================================================================================================================
File Design Information:

Date:       18/08/22
Time:       11:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"logo","logo_HUADA","TopLayer","XHSC_LOGO_SMALL","-1920.000mil","-2340.000mil","360",""
"J1","2.54mm,2pins","TopLayer","JMP-2.54","2254.999mil","1711.756mil","360","2.54mm, 2pin jumper"
"C30","0.1uF","TopLayer","C0603","318.840mil","1725.000mil","180","Ceramic Capacitor,0805"
"TP4","GND","TopLayer","TP","1469.016mil","485.000mil","0",""
"TP3","GND","TopLayer","TP","1499.016mil","1974.253mil","0",""
"TP1","VCC","TopLayer","TP","1324.901mil","1530.000mil","0",""
"R4","4.7k-1%","TopLayer","R0603","3155.000mil","1593.465mil","180","Resister,0603,5%"
"R66","100R","TopLayer","R0603","480.000mil","1565.000mil","270","Resister,0603,5%"
"R65","100R","TopLayer","R0603","542.575mil","1563.518mil","270","Resister,0603,5%"
"R63","100R","TopLayer","R0603","597.563mil","1563.518mil","270","Resister,0603,5%"
"R54","4.7k","TopLayer","R0603","625.000mil","1221.082mil","360","Resister,0603,5%"
"R53","4.7k","TopLayer","R0603","622.563mil","1321.082mil","360","Resister,0603,5%"
"R52","4.7k","TopLayer","R0603","622.563mil","1423.419mil","360","Resister,0603,5%"
"CN6","2.54mm,5Pin","TopLayer","PIN-5-254-S","280.000mil","1420.000mil","90",""
"C29","1nF","TopLayer","C0603","485.000mil","1221.082mil","360","Ceramic Capacitor,0805"
"C22","1nF","TopLayer","C0603","480.000mil","1321.082mil","360","Ceramic Capacitor,0805"
"C17","1nF","TopLayer","C0603","480.000mil","1423.419mil","360","Ceramic Capacitor,0805"
"R51","100R","TopLayer","R0603","1440.000mil","260.000mil","360","Resister,0603,5%"
"R50","100R","TopLayer","R0603","1440.000mil","324.837mil","360","Resister,0603,5%"
"R49","100R","TopLayer","R0603","1440.000mil","690.231mil","360","Resister,0603,5%"
"R48","100R","TopLayer","R0603","1440.000mil","754.274mil","360","Resister,0603,5%"
"R47","100R","TopLayer","R0603","1440.000mil","1150.000mil","360","Resister,0603,5%"
"R46","100R","TopLayer","R0603","1440.000mil","1215.000mil","360","Resister,0603,5%"
"CN5","CN-2-20-254","TopLayer","PINA-20-254-S","708.661mil","247.244mil","180",""
"R41","10k","TopLayer","R0603","2655.000mil","215.000mil","90","Resister,0603,5%"
"R34","100R","TopLayer","R0603","2655.000mil","340.000mil","270","Resister,0603,5%"
"C4","220uF/35V","TopLayer","CAP-SMT-D-10*10.2","3875.000mil","1835.000mil","180",""
"R31","1k-1%","TopLayer","R0603","2030.000mil","1405.000mil","180","Resister,0603,5%"
"R10","10.2k-1%","TopLayer","R0603","1595.000mil","1760.000mil","180","Resister,0603,5%"
"R9","10.2k-1%","TopLayer","R0603","1714.016mil","1760.000mil","360","Resister,0603,5%"
"IC1","TP1562","TopLayer","SOIC-8","1700.001mil","1525.951mil","270",""
"R17","20R-1%","TopLayer","R0603","2235.000mil","1550.000mil","180","Resister,0603,5%"
"C21","4.7uF","TopLayer","C0805","1723.661mil","85.000mil","360","Ceramic Capacitor,0603"
"U4","IR2304SPBF","TopLayer","SOIC-8","1812.933mil","666.558mil","0",""
"C18","1uF","TopLayer","C0805","2030.000mil","688.661mil","270","Ceramic Capacitor,0603"
"U5","IR2304SPBF","TopLayer","SOIC-8","1812.933mil","240.001mil","0",""
"U3","SPX3819M5-L/TR","TopLayer","SPX3819","2103.465mil","1912.401mil","180","DC-DC"
"U2","IR2304SPBF","TopLayer","SOIC-8","1812.933mil","1131.797mil","0",""
"U1","ME3116","TopLayer","SOT23-6","3298.150mil","1868.482mil","270",""
"R64","10k","TopLayer","R0603","700.000mil","967.402mil","270","Resister,0603,5%"
"R62","0R","TopLayer","R0603","730.000mil","1070.000mil","360","Resister,0603,5%"
"R61","0R","TopLayer","R0603","1015.000mil","1005.000mil","180","Resister,0603,5%"
"R60","4.7R","TopLayer","R0603","1820.000mil","395.000mil","360","Resister,0603,5%"
"R59","4.7R","TopLayer","R0603","1815.000mil","815.000mil","360","Resister,0603,5%"
"R58","4.7R","TopLayer","R0603","1805.000mil","1278.736mil","360","Resister,0603,5%"
"R57","DNF","TopLayer","R0603","915.000mil","815.000mil","90","Resister,0603,5%"
"R56","510R","TopLayer","R0603","850.000mil","816.161mil","90","Resister,0603,5%"
"R55","10k","TopLayer","R0603","785.000mil","816.161mil","90","Resister,0603,5%"
"R44","10k","TopLayer","R0603","2236.067mil","922.500mil","360","Resister,0603,5%"
"R43","10k","TopLayer","R0603","2245.000mil","425.000mil","360","Resister,0603,5%"
"R42","10k","TopLayer","R0603","2236.067mil","855.000mil","360","Resister,0603,5%"
"R40","10k","TopLayer","R0603","3375.000mil","235.000mil","90","Resister,0603,5%"
"R39","10k","TopLayer","R0603","2655.000mil","720.000mil","90","Resister,0603,5%"
"R38","10k","TopLayer","R0603","3375.000mil","740.000mil","90","Resister,0603,5%"
"R37","10k","TopLayer","R0603","2650.000mil","1200.000mil","90","Resister,0603,5%"
"R36","10k","TopLayer","R0603","3375.000mil","1225.000mil","90","Resister,0603,5%"
"R35","0.047R","TopLayer","R2512","2397.409mil","210.000mil","360","Resister,0603,5%"
"R33","100R","TopLayer","R0603","3375.000mil","365.000mil","270","Resister,0603,5%"
"R32","5.1k-1%","TopLayer","R0603","1695.000mil","1335.000mil","180","Resister,0603,5%"
"R30","20R-1%","TopLayer","R0603","2235.000mil","1405.000mil","180","Resister,0603,5%"
"R29","0.047R","TopLayer","R2512","2397.409mil","695.000mil","360","Resister,0603,5%"
"R28","470R","TopLayer","R0603","1563.845mil","1335.000mil","360","Resister,0603,5%"
"R27","1k-1%","TopLayer","R0603","2030.000mil","1470.000mil","180","Resister,0603,5%"
"R26","20R-1%","TopLayer","R0603","2235.000mil","1470.000mil","180","Resister,0603,5%"
"R25","10.2k-1%","TopLayer","R0603","1555.000mil","1440.000mil","90","Resister,0603,5%"
"R24","10.2k-1%","TopLayer","R0603","1490.000mil","1440.000mil","90","Resister,0603,5%"
"R23","100R","TopLayer","R0603","2655.000mil","845.000mil","270","Resister,0603,5%"
"R22","100R","TopLayer","R0603","3375.000mil","869.884mil","270","Resister,0603,5%"
"R21","5.1k-1%","TopLayer","R0603","1845.000mil","1590.000mil","270","Resister,0603,5%"
"R20","40.2k-1%","TopLayer","R0603","2195.197mil","1805.254mil","180","Resister,0603,5%"
"R19","49.9k-1%","TopLayer","R0603","2065.000mil","1720.000mil","180","Resister,0603,5%"
"R18","1k-1%","TopLayer","R0603","2030.000mil","1561.116mil","180","Resister,0603,5%"
"R16","68k-1%","TopLayer","R0603","2065.000mil","1791.575mil","180","Resister,0603,5%"
"R15","0.047R","TopLayer","R2512","2392.409mil","1165.000mil","360","Resister,0603,5%"
"R14","470R","TopLayer","R0603","1500.000mil","1686.155mil","360","Resister,0603,5%"
"R13","10R","TopLayer","R1206","2359.534mil","1890.166mil","270","Resister,0603,5%"
"R12","1k-1%","TopLayer","R0603","2030.000mil","1625.000mil","180","Resister,0603,5%"
"R11","20R-1%","TopLayer","R0603","2235.000mil","1620.000mil","180","Resister,0603,5%"
"R8","100R","TopLayer","R0603","2650.000mil","1329.884mil","270","Resister,0603,5%"
